player_name,draft_year,pick_number,college,height_inches,weight_lbs,position,ppg,apg,rpg,spg,bpg,mpg,topg,fpg,fg_pct,three_pt_pct,ft_pct,efg_pct,two_pt_pct,ws,ws_40,ows,dws,ts_pct,tov_pct,ftr,three_pt_attempt_rate,college_seasons,one_and_done,recruit_rank,is_top_100_recruit,is_top_10_recruit,nba_seasons,nba_4yr_total_mp,nba_4yr_bpm,nba_4yr_vorp,nba_4yr_ws,career_ws48,meaningful_career,bpm_tier,minutes_tier,PosVORP
Kenyon Martin,2000,1,Cincinnati,81,234,Center,11.02586207,1.224137931,7.49137931,1.068965517,2.517241379,25,1.646551724,2.931034483,0.586,0.222,0.581,0.587,0.59,24.7,0.34,8.2,16.4,0.592,15,0.494,0.01,4,0,101,0,0,15,9656,0.4190140845,5.9,20.8,0.1,1,Starter+,Starter+,1
Stromile Swift,2000,2,LSU,81,225,Forward,13.42,0.74,6.96,1.3,2.6,26.64,2.52,2.62,0.56,0.242,0.613,0.569,0.585,9.2,0.275,4.1,5.1,0.585,18,0.566,0.073,2,0,5,1,1,9,6123,-0.6227012902,2.1,13.7,0.095,1,Rotation,Starter+,1
Marcus Fizer,2000,4,Iowa State,81,262,Forward,18.86597938,0.9690721649,7.381443299,0.9278350515,0.9175257732,31.13402062,2.319587629,2.649484536,0.511,0.292,0.702,0.519,0.524,16.4,0.217,9.2,7.1,0.558,12.1,0.453,0.053,3,0,101,0,0,6,5089,-3.86264492,-2.4,2.3,0.022,1,Bust,Starter+,0
Mike Miller,2000,5,Florida,80,218,Forward,13.26153846,2.292307692,5.984615385,1.246153846,0.3384615385,26.69230769,2.153846154,1.876923077,0.483,0.345,0.718,0.547,0.565,8.4,0.194,5,3.4,0.586,16,0.473,0.376,2,0,13,1,0,17,8525,-0.1397419355,3.9,16.7,0.105,1,Rotation,Starter+,1
DerMarr Johnson,2000,6,Cincinnati,81,201,Guard,12.5625,1.40625,3.84375,0.96875,0.9375,27.46875,1.4375,2,0.478,0.371,0.737,0.567,0.575,4.8,0.218,2.6,2.2,0.594,12,0.324,0.478,1,1,17,1,0,7,3327,-2.211361587,-0.2,2.1,0.052,1,Rotation,Rotation,0
Chris Mihm,2000,7,Texas,84,265,Center,14.625,0.5729166667,9.84375,0.375,2.75,29.27083333,2.3125,2.989583333,0.497,0.3,0.684,0.501,0.503,15.6,0.222,6.3,9.3,0.548,14.8,0.581,0.03,3,0,101,0,0,8,4964,-4.91122079,-3.6,5.8,0.073,1,Bust,Starter+,0
Jamal Crawford,2000,8,Michigan,78,185,Guard,16.64705882,4.470588235,2.764705882,1.117647059,0.9411764706,33.94117647,3.117647059,1.117647059,0.412,0.327,0.784,0.476,0.468,0.9,0.065,0.7,0.2,0.507,16,0.2,0.396,1,1,46,1,0,20,6334,0.002526049889,3.2,6.6,0.075,1,Starter+,Starter+,1
Joel Przybilla,2000,9,Minnesota,85,255,Center,9.93877551,1.857142857,6.918367347,0.6734693878,3.367346939,27.57142857,2.87755102,3.06122449,0.591,0,0.521,0.591,0.591,6.4,0.19,3,3.4,0.583,25.2,0.479,0,2,0,8,1,1,13,2291,-3.903579223,-1.1,2.7,0.094,1,Bust,Rotation,0
Keyon Dooling,2000,10,Missouri,75,196,Guard,12.13559322,3.355932203,2.406779661,1.288135593,0.4915254237,28.11864407,2.271186441,1.745762712,0.411,0.338,0.733,0.472,0.452,6,0.146,2.9,3.1,0.531,16.6,0.51,0.365,2,0,19,1,0,13,3498,-3.20434534,-1.1,2,0.063,1,Bust,Rotation,0
Jérôme Moïso,2000,11,UCLA,82,235,Center,12,1.1,6.8,1,1.3,26.8,2.3,2.8,0.495,0.227,0.614,0.499,0.505,6.8,0.164,2.4,4.5,0.521,16.5,0.362,0.036,2,0,75,1,0,5,1272,-3.491902516,-0.4,1.9,0.074,0,Bust,Rotation,0
